Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
B3;1;0.00;0.20;Concrete Slab;Concrete;High
B3;1;0.20;0.85;Wash boring. (No recovery);No Recovery;High
B3;1;0.85;3.32;Concrete with cobbles and gravels of moderately decomposed granite and occasionally some red bricks. (FILL);Fill;High
B3;1;3.32;19.20;Wash boring. (No recovery);No Recovery;High
B3;2;19.20;20.63;Sub-rounded Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND. (ALLUVIUM);Alluvium;High
B3;3;20.63;27.77;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow and occasionally narrow, rough planar, limonite, manganese kaolin and chlorite stained joints, dipping 10°-20°, 40°-50°.;Granite;High
