sep=;
Hole No;Easting;Northing;Sheet No;Start Depth;End Depth;Grade;Soil/Rock Description;Soil/Rock Type;Confidence Level
C4_v1;839915.68;816522.34;1;0.00;1.72;;Concrete with steel bars.;Concrete;1.00
C4_v1;839915.68;816522.34;1;1.72;17.88;;Concrete with steel bars and steel fragments.;Concrete;1.00
C4_v1;839915.68;816522.34;2;17.88;28.06;II;Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, limonite stained, kaolin coated and clean joints, dipping 10 degrees-20 degrees, 75 degrees-85 degrees and occasionally vertical joints.;Granite;1.00
