sep=;
Hole No;Easting;Northing;Sheet No;Start Depth;End Depth;Grade;Soil/Rock Description;Soil/Rock Type;Confidence Level
B3A_v1;839906.68;816527.33;1;0.00;0.25;;Concrete Slab;Concrete;1.00
B3A_v1;839906.68;816527.33;1;0.25;0.80;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
B3A_v1;839906.68;816527.33;1;0.80;1.75;;Cobbles with boulders and gravels of moderately decomposed granite. (FILL);Fill;1.00
B3A_v1;839906.68;816527.33;1;1.75;19.55;;Wash boring. (No recovery);No recovery;1.00
B3A_v1;839906.68;816527.33;2;19.55;25.20;III/II;Moderately strong to strong, fine to coarse grained, pink and white, moderately to slightly decomposed, fine to coarse grained GRANITE with widely to closely spaced, occasionally closely spaced, very narrow to medium, infilling of granular, limonite, manganese stained, chlorite. Discontinuities dipping at 10 degrees-20 degrees, 40 degrees-60 degrees, 70 degrees-85 degrees.;Granite;1.00
B3A_v1;839906.68;816527.33;3;25.20;28.30;II;Strong, pinkish grey spotted black and white, slightly decomposed, medium to coarse grained GRANITE.;Granite;1.00
