sep=;
Hole No;Easting;Northing;Sheet No;Start Depth;End Depth;Grade;Soil/Rock Description;Soil/Rock Type;Confidence Level
DH7_v2;839894.47;816508.90;1;0.00;0.20;;Concrete Slab.;Concrete;1.00
DH7_v2;839894.47;816508.90;1;0.20;2.00;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH7_v2;839894.47;816508.90;1;2.00;23.70;;Wash boring. (No recovery);No Recovery;1.00
DH7_v2;839894.47;816508.90;3;23.70;23.85;IV;Moderately strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 60 degrees-75 degrees. 23.70m-23.85m & 24.20m-24.32m: no recovery.;Granite;0.95
DH7_v2;839894.47;816508.90;3;23.85;23.95;IV/III;Moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;0.95
DH7_v2;839894.47;816508.90;3;23.95;30.37;III;Moderately strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 60 degrees-75 degrees.;Granite;0.95
