sep=;
Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
P3_v1;1;0.0;3.0;wash boring;Fill;High
P3_v1;1;3.0;24.3;Rounded and subrounded COBBLES and fine to coarse GRAVEL and CONCRETE. No recovery assumed finer material washed out. (FILL);Fill;High
P3_v1;3;24.3;28.74;Moderately strong, brownish grey grey, spotted yellow, moderately decomposed, medium grained GRANITE with closely to extremely closely spaced, rough, undulating, narrow to very narrow, limonite and manganese stained joints, dipping 5 degrees to 15 degrees and 15 degrees to 35 degrees;Granite;High
P3_v1;3;28.74;30.95;Moderately strong to strong, brownish grey, spotted yellow, moderately to slightly decomposed, medium grained GRANITE with closely spaced, rough, undulating, narrow, limonite and manganese stained, dipping 5 degrees to 10 degrees;Granite;High
